"FY","PD","ALLOC_XFER_AGENCY","AID","MAIN_ACCT","SUB_ACCT","COMPOUND_KEY","PARK","PARK_NAME","RECORD_UPDATE_TS","FILE_UPDATE_TS"
"2024","09","","000","0100","","PB2018001050100000001","5ZBPXDKGVPJ","Compensation of Members, Senate (Direct)","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","000","0102","","PB2018001059911000001","5ZBQ016MQ5V","Senate Items (Direct)","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","000","0107","","PB2018001059911000001","5ZBQ016MQ5V","Senate Items (Direct)","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","000","0108","","PB2018001059911000001","5ZBQ016MQ5V","Senate Items (Direct)","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","000","0110","","PB2018001050110000001","5ZBPXDL8CRB","Salaries, Officers and Employees (Direct)","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","000","0115","","PB2018001059911000001","5ZBQ016MQ5V","Senate Items (Direct)","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","000","0118","","PB2018001059911000001","5ZBQ016MQ5V","Senate Items (Direct)","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","000","0123","","PB2018001050123000001","5ZBPXDM7FCL","Miscellaneous Items (Direct)","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","000","0126","","PB2018001050126000001","5ZBPXDMF2U5","Secretary of the Senate (Direct)","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","000","0127","","PB2018001050127000001","5ZBPXDMHLDB","Sergeant at Arms and Doorkeeper of the Senate (Direct)","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","000","0128","","PB2018001050128000001","5ZBPXDMK5UH","Inquiries and Investigations (Direct)","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","000","0129","","PB2018001059911000001","5ZBQ016MQ5V","Senate Items (Direct)","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","000","0130","","PB2018001050130000001","5ZBPXDMP8UT","Senators' Official Personnel and Office Expense Account (Direct)","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","000","0132","","PB2018001059911000001","5ZBQ016MQ5V","Senate Items (Direct)","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","000","0140","","PB2018001059932000801","5ZBQ01887G5","Senate Revolving Funds (Reimbursable)","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","000","0165","","PB2018001059911000001","5ZBQ016MQ5V","Senate Items (Direct)","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","000","0171","","PB2018001059911000001","5ZBQ016MQ5V","Senate Items (Direct)","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","000","0172","","PB2018001059911000001","5ZBQ016MQ5V","Senate Items (Direct)","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","000","0174","","PB2018001110190000001","5ZBQ39T44LN","Office of Congressional Accessibility Services (Direct)","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","000","0175","","PB2024001050175000001","607PG2X5E57","Sergeant at Arms Business Continuity and Disaster Recovery Fund (Direct)","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","000","0176","","PB2024001050176000001","607PG2X7WMD","Sergeant at Arms Fellowships Fund (Direct)","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","000","0177","","PB2018001130477000001","5ZBQ4KH7PEP","Salaries (Direct)","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","000","0181","","PB2018001110181000001","5ZBQ39SF833","Joint Economic Committee (Direct)","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","000","0182","","PB2018001050110000001","5ZBPXDL8CRB","Salaries, Officers and Employees (Direct)","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","000","0184","","PB2018001059911000001","5ZBQ016MQ5V","Senate Items (Direct)","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","000","0185","","PB2018001050185000001","5ZBPXDQT6NJ","Office of the Legislative Counsel of the Senate (Direct)","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","000","0186","","PB2018001110186000001","5ZBQ39SRWKX","Joint Congressional Committee on Inaugural Ceremonies of 2013 (Direct)","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","000","0186","","PB2024001110186000001","607PJX1TL4D","Joint Congressional Committee on Inaugural Ceremonies of 2025 (Direct)","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","000","0190","","PB2018001110190000001","5ZBQ39T44LN","Office of Congressional Accessibility Services (Direct)","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","000","0200","","PB2018001100200000001","5ZBQ2LTYTQP","Compensation of Members and Related Administrative Expenses (Direct)","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","000","0215","","PB2018001100200000001","5ZBQ2LTYTQP","Compensation of Members and Related Administrative Expenses (Direct)","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","000","0400","","PB2018001100400000001","5ZBQ2MAHZS1","Salaries and Expenses (Direct)","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
"2024","09","","000","0425","","PB2018001110425000001","5ZBQ3ACZ1C5","Office of the Attending Physician (Direct)","2024-08-19-11.39.26","2024-08-19-11.39.26 V12.7"
