fieldname,fieldname_short,required,data_type,field_length,padded_flag
agencyidentifier,agency_identifier,TRUE,str,3,TRUE
allocationtransferagencyidentifier,allocation_transfer_agency,FALSE,str,3,TRUE
availabilitytypecode,availability_type_code,FALSE,str,1,
beginningperiodofavailability,beginning_period_of_availa,FALSE,str,4,
bydirectreimbursablefundingsource,by_direct_reimbursable_fun,FALSE,str,1,
deobligationsrecoveriesrefundsofprioryearbyaward_cpe,deobligations_recov_by_awa_cpe,FALSE,float,21,
endingperiodofavailability,ending_period_of_availabil,FALSE,str,4,
fain,fain,FALSE,str,30,
grossoutlayamountbyaward_cpe,gross_outlay_amount_by_awa_cpe,FALSE,float,21,
grossoutlayamountbyaward_fyb,gross_outlay_amount_by_awa_fyb,FALSE,float,21,
grossoutlaysdeliveredorderspaidtotal_cpe,gross_outlays_delivered_or_cpe,FALSE,float,21,
grossoutlaysdeliveredorderspaidtotal_fyb,gross_outlays_delivered_or_fyb,FALSE,float,21,
grossoutlaysundeliveredordersprepaidtotal_cpe,gross_outlays_undelivered_cpe,FALSE,float,21,
grossoutlaysundeliveredordersprepaidtotal_fyb,gross_outlays_undelivered_fyb,FALSE,float,21,
mainaccountcode,main_account_code,TRUE,str,4,TRUE
objectclass,object_class,TRUE,str,4,
obligationsdeliveredordersunpaidtotal_cpe,obligations_delivered_orde_cpe,FALSE,float,21,
obligationsdeliveredordersunpaidtotal_fyb,obligations_delivered_orde_fyb,FALSE,float,21,
obligationsincurredtotalbyaward_cpe,obligations_incurred_byawa_cpe,FALSE,float,21,
obligationsundeliveredordersunpaidtotal_cpe,obligations_undelivered_or_cpe,FALSE,float,21,
obligationsundeliveredordersunpaidtotal_fyb,obligations_undelivered_or_fyb,FALSE,float,21,
parentawardid,parent_award_id,FALSE,str,50,
piid,piid,FALSE,str,50,
programactivitycode,program_activity_code,FALSE,str,4,TRUE
programactivityname,program_activity_name,FALSE,str,164,
subaccountcode,sub_account_code,TRUE,str,3,TRUE
transactionobligatedamount,transaction_obligated_amou,FALSE,float,21,
uri,uri,FALSE,str,70,
ussgl480100_undeliveredordersobligationsunpaid_cpe,ussgl480100_undelivered_or_cpe,FALSE,float,21,
ussgl480100_undeliveredordersobligationsunpaid_fyb,ussgl480100_undelivered_or_fyb,FALSE,float,21,
ussgl480200_undeliveredordersobligationsprepaidadvanced_cpe,ussgl480200_undelivered_or_cpe,FALSE,float,21,
ussgl480200_undeliveredordersobligationsprepaidadvanced_fyb,ussgl480200_undelivered_or_fyb,FALSE,float,21,
ussgl483100_undeliveredordersobligationstransferredunpaid_cpe,ussgl483100_undelivered_or_cpe,FALSE,float,21,
ussgl483200_undeliveredordersobligationstransferredprepaidadvanced_cpe,ussgl483200_undelivered_or_cpe,FALSE,float,21,
ussgl487100_downwardadjustmentsofprioryearunpaidundeliveredordersobligationsrecoveries_cpe,ussgl487100_downward_adjus_cpe,FALSE,float,21,
ussgl487200_downwardadjustmentsofprioryearprepaidadvancedundeliveredordersobligationsrefundscollected_cpe,ussgl487200_downward_adjus_cpe,FALSE,float,21,
ussgl488100_upwardadjustmentsofprioryearundeliveredordersobligationsunpaid_cpe,ussgl488100_upward_adjustm_cpe,FALSE,float,21,
ussgl488200_upwardadjustmentsofprioryearundeliveredordersobligationsprepaidadvanced_cpe,ussgl488200_upward_adjustm_cpe,FALSE,float,21,
ussgl490100_deliveredordersobligationsunpaid_cpe,ussgl490100_delivered_orde_cpe,FALSE,float,21,
ussgl490100_deliveredordersobligationsunpaid_fyb,ussgl490100_delivered_orde_fyb,FALSE,float,21,
ussgl490200_deliveredordersobligationspaid_cpe,ussgl490200_delivered_orde_cpe,FALSE,float,21,
ussgl490800_authorityoutlayednotyetdisbursed_cpe,ussgl490800_authority_outl_cpe,FALSE,float,21,
ussgl490800_authorityoutlayednotyetdisbursed_fyb,ussgl490800_authority_outl_fyb,FALSE,float,21,
ussgl493100_deliveredordersobligationstransferredunpaid_cpe,ussgl493100_delivered_orde_cpe,FALSE,float,21,
ussgl497100_downwardadjustmentsofprioryearunpaiddeliveredordersobligationsrecoveries_cpe,ussgl497100_downward_adjus_cpe,FALSE,float,21,
ussgl497200_downwardadjustmentsofprioryearpaiddeliveredordersobligationsrefundscollected_cpe,ussgl497200_downward_adjus_cpe,FALSE,float,21,
ussgl498100_upwardadjustmentsofprioryeardeliveredordersobligationsunpaid_cpe,ussgl498100_upward_adjustm_cpe,FALSE,float,21,
ussgl498200_upwardadjustmentsofprioryeardeliveredordersobligationspaid_cpe,ussgl498200_upward_adjustm_cpe,FALSE,float,21,
