fieldname,fieldname_short,required,data_type,field_length
PIID,piid,optional,string,
AwardingSubTierAgencyCode,awarding_sub_tier_agency_c,optional,string,
AwardingSubTierAgencyName,awarding_sub_tier_agency_n,optional,string,
AwardingAgencyCode,awarding_agency_code,optional,string,
AwardingAgencyName,awarding_agency_name,optional,string,
ParentAwardId,parent_award_id,optional,string,
AwardModificationAmendmentNumber,award_modification_amendme,optional,string,
TypeOfContractPricing,type_of_contract_pricing,optional,string,
TypeOfContractPricingDescriptionTag,type_of_contract_pric_desc,optional,string,
ContractAwardType,contract_award_type,optional,string,
ContractAwardTypeDescriptionTag,contract_award_type_desc,optional,string,
NAICS,naics,optional,string,
NAICS_Description,naics_description,optional,string,
AwardeeOrRecipientUniqueIdentifier,awardee_or_recipient_uniqu,optional,string,
UltimateParentLegalEntityName,ultimate_parent_legal_enti,optional,string,
UltimateParentUniqueIdentifier,ultimate_parent_unique_ide,optional,string,
AwardDescription,award_description,optional,string,
PrimaryPlaceOfPerformanceZIP+4,place_of_performance_zip4a,optional,string,
PrimaryPlaceOfPerformanceCityName,place_of_performance_city,optional,string,
PrimaryPlaceOfPerformanceCongressionalDistrict,place_of_performance_congr,optional,string,
AwardeeOrRecipientLegalEntityName,awardee_or_recipient_legal,optional,string,
LegalEntityCityName,legal_entity_city_name,optional,string,
LegalEntityStateCode,legal_entity_state_code,optional,string,
LegalEntityStateCodeDescription,legal_entity_state_descrip,optional,string,
LegalEntityZIP+4,legal_entity_zip4,optional,string,
LegalEntityCongressionalDistrict,legal_entity_congressional,optional,string,
LegalEntityAddressLine1,legal_entity_address_line1,optional,string,
LegalEntityAddressLine2,legal_entity_address_line2,optional,string,
LegalEntityCountryCode,legal_entity_country_code,optional,string,
LegalEntityCountryName,legal_entity_country_name,optional,string,
PeriodOfPerformanceStartDate,period_of_performance_star,optional,string,
PeriodOfPerformanceCurrentEndDate,period_of_performance_curr,optional,string,
PeriodOfPerformancePotentialEndDate,period_of_perf_potential_e,optional,string,
OrderingPeriodEndDate,ordering_period_end_date,optional,string,
ActionDate,action_date,optional,string,
ActionType,action_type,optional,string,
ActionTypeDescriptionTag,action_type_description,optional,string,
FederalActionObligation,federal_action_obligation,optional,string,
CurrentTotalValueOfAward,current_total_value_award,optional,string,
PotentialTotalValueOfAward,potential_total_value_awar,optional,string,
FundingSubTierAgencyCode,funding_sub_tier_agency_co,optional,string,
FundingSubTierAgencyName,funding_sub_tier_agency_na,optional,string,
FundingOfficeCode,funding_office_code,optional,string,
FundingOfficeName,funding_office_name,optional,string,
AwardingOfficeCode,awarding_office_code,optional,string,
AwardingOfficeName,awarding_office_name,optional,string,
Referenced IDV Agency Identifier,referenced_idv_agency_iden,optional,string,
FundingAgencyCode,funding_agency_code,optional,string,
FundingAgencyName,funding_agency_name,optional,string,
PrimaryPlaceOfPerformanceStateCode,place_of_performance_state,optional,string,
PrimaryPlaceOfPerformanceCountryCode,place_of_perform_country_c,optional,string,
IDV_Type,idv_type,optional,string,
IDV_Type Description Tag,idv_type_description,optional,string,
Vendor Doing As Business Name,vendor_doing_as_business_n,optional,string,
Vendor Phone Number,vendor_phone_number,optional,string,
Vendor Fax Number,vendor_fax_number,optional,string,
Multiple or Single Award IDV,multiple_or_single_award_i,optional,string,
Multiple or Single Award IDV Description Tag,multiple_or_single_aw_desc,optional,string,
Type of IDC,type_of_idc,optional,string,
Type of IDC Description Tag,type_of_idc_description,optional,string,
A-76 FAIR Act Action,a_76_fair_act_action,optional,string,
A-76 FAIR Act Action Description Tag,a_76_fair_act_action_desc,optional,string,
DoD Claimant Program Code,dod_claimant_program_code,optional,string,
DoD Claimant Program Code Description Tag,dod_claimant_prog_cod_desc,optional,string,
Clinger-Cohen Act Planning Compliance,clinger_cohen_act_planning,optional,string,
Clinger-Cohen Act Planning Compliance Description Tag,clinger_cohen_act_pla_desc,optional,string,
Commercial Item Acquisition Procedures,commercial_item_acquisitio,optional,string,
Commercial Item Acquisition Procedures Description Tag,commercial_item_acqui_desc,optional,string,
Commercial Item Test Program,commercial_item_test_progr,optional,string,
Commercial Item Test Program Description Tag,commercial_item_test_desc,optional,string,
Consolidated Contract,consolidated_contract,optional,string,
Consolidated Contract Description Tag,consolidated_contract_desc,optional,string,
Contingency Humanitarian or Peacekeeping Operation,contingency_humanitarian_o,optional,string,
Contingency Humanitarian or Peacekeeping Operation Description Tag,contingency_humanitar_desc,optional,string,
Contract Bundling,contract_bundling,optional,string,
Contract Bundling Description Tag,contract_bundling_descrip,optional,string,
Contract Financing,contract_financing,optional,string,
Contract Financing Description Tag,contract_financing_descrip,optional,string,
Contracting Officer's Determination of Business Size,contracting_officers_deter,optional,string,
Contracting Officer's Determination of Business Size Description Tag,contracting_officers_desc,optional,string,
Cost Accounting Standards Clause,cost_accounting_standards,optional,string,
Cost Accounting Standards Clause Description Tag,cost_accounting_stand_desc,optional,string,
Cost or Pricing Data,cost_or_pricing_data,optional,string,
Cost or Pricing Data Description Tag,cost_or_pricing_data_desc,optional,string,
Country of Product or Service Origin,country_of_product_or_serv,optional,string,
Country of Product or Service Origin Description Tag,country_of_product_or_desc,optional,string,
Construction Wage Rate Requirements,construction_wage_rate_req,optional,string,
Construction Wage Rate Requirements Description Tag,construction_wage_rat_desc,optional,string,
Evaluated Preference,evaluated_preference,optional,string,
Evaluated Preference Description Tag,evaluated_preference_desc,optional,string,
Extent Competed,extent_competed,optional,string,
Extent Competed Description Tag,extent_compete_description,optional,string,
FedBizOpps,fed_biz_opps,optional,string,
FedBizOppsDescriptionTag,fed_biz_opps_description,optional,string,
Foreign Funding,foreign_funding,optional,string,
Foreign Funding Description Tag,foreign_funding_desc,optional,string,
