fieldname,fieldname_short,required,data_type,field_length,padded_flag
actiondate,action_date,TRUE,str,8,
actiontype,action_type,FALSE,str,1,
assistancetype,assistance_type,TRUE,str,2,TRUE
awarddescription,award_description,TRUE,str,18000,
awardeeorrecipientlegalentityname,awardee_or_recipient_legal,TRUE,str,120,
awardeeorrecipientuniqueidentifier,awardee_or_recipient_uniqu,FALSE,str,9,
awardingofficecode,awarding_office_code,FALSE,str,6,
awardingsubtieragencycode,awarding_sub_tier_agency_c,TRUE,str,4,
awardmodificationamendmentnumber,award_modification_amendme,FALSE,str,25,
businessfundsindicator,business_funds_indicator,TRUE,str,3,
businesstypes,business_types,TRUE,str,3,
cfda_number,cfda_number,TRUE,str,7,
correctiondeleteindicator,correction_delete_indicatr,FALSE,str,1,
facevalueofdirectloanorloanguarantee,face_value_loan_guarantee,FALSE,float,20,
fain,fain,FALSE,str,30,
federalactionobligation,federal_action_obligation,FALSE,float,20,
fundingofficecode,funding_office_code,FALSE,str,6,
fundingsubtieragencycode,funding_sub_tier_agency_co,FALSE,str,4,
legalentityaddressline1,legal_entity_address_line1,FALSE,str,150,
legalentityaddressline2,legal_entity_address_line2,FALSE,str,150,
legalentitycongressionaldistrict,legal_entity_congressional,FALSE,str,2,
legalentitycountrycode,legal_entity_country_code,TRUE,str,3,
legalentityforeigncityname,legal_entity_foreign_city,FALSE,str,40,
legalentityforeignpostalcode,legal_entity_foreign_posta,FALSE,str,50,
legalentityforeignprovincename,legal_entity_foreign_provi,FALSE,str,25,
legalentityzip5,legal_entity_zip5,FALSE,str,5,
legalentityziplast4,legal_entity_zip_last4,FALSE,str,4,
nonfederalfundingamount,non_federal_funding_amount,FALSE,float,20,
originalloansubsidycost,original_loan_subsidy_cost,FALSE,float,20,
periodofperformancecurrentenddate,period_of_performance_curr,FALSE,str,8,
periodofperformancestartdate,period_of_performance_star,FALSE,str,8,
primaryplaceofperformancecode,place_of_performance_code,FALSE,str,7,
primaryplaceofperformancecongressionaldistrict,place_of_performance_congr,FALSE,str,2,TRUE
primaryplaceofperformancecountrycode,place_of_perform_country_c,FALSE,str,3,
primaryplaceofperformanceforeignlocationdescription,place_of_performance_forei,FALSE,str,100,
primaryplaceofperformancezip+4,place_of_performance_zip4a,FALSE,str,10,
recordtype,record_type,TRUE,int,1,
sai_number,sai_number,FALSE,str,50,
uri,uri,FALSE,str,70,
