daimsname,fieldname,fieldname_short,required,data_type,field_length,padded_flag
AwardeeOrRecipientUniqueIdentifier,awardeeorrecipientuniqueidentifier,awardee_or_recipient_uniqu,FALSE,str,,
AwardeeOrRecipientLegalEntityName,awardeeorrecipientlegalentityname,awardee_or_recipient_legal,FALSE,str,,
UltimateParentUniqueIdentifier,ultimateparentuniqueidentifier,ultimate_parent_unique_ide,FALSE,str,,
UltimateParentLegalEntityName,ultimateparentlegalentityname,ultimate_parent_legal_enti,FALSE,str,,
HighCompOfficer1FullName,highcompofficer1fullname,high_comp_officer1_full_na,FALSE,str,,
HighCompOfficer1Amount,highcompofficer1amount,high_comp_officer1_amount,FALSE,str,,
HighCompOfficer2FullName,highcompofficer2fullname,high_comp_officer2_full_na,FALSE,str,,
HighCompOfficer2Amount,highcompofficer2amount,high_comp_officer2_amount,FALSE,str,,
HighCompOfficer3FullName,highcompofficer3fullname,high_comp_officer3_full_na,FALSE,str,,
HighCompOfficer3Amount,highcompofficer3amount,high_comp_officer3_amount,FALSE,str,,
HighCompOfficer4FullName,highcompofficer4fullname,high_comp_officer4_full_na,FALSE,str,,
HighCompOfficer4Amount,highcompofficer4amount,high_comp_officer4_amount,FALSE,str,,
HighCompOfficer5FullName,highcompofficer5fullname,high_comp_officer5_full_na,FALSE,str,,
HighCompOfficer5Amount,highcompofficer5amount,high_comp_officer5_amount,FALSE,str,,
