fieldname,fieldname_short,required,data_type,field_length,rule_labels
AwardeeOrRecipientUniqueIdentifier,awardee_or_recipient_uniqu,optional,string,,
AwardeeOrRecipientLegalEntityName,awardee_or_recipient_legal,optional,string,,
UltimateParentUniqueIdentifier,ultimate_parent_unique_ide,optional,string,,
UltimateParentLegalEntityName,ultimate_parent_legal_enti,optional,string,,
HighCompOfficer1FullName,high_comp_officer1_full_na,optional,string,,
HighCompOfficer1Amount,high_comp_officer1_amount,optional,string,,
HighCompOfficer2FullName,high_comp_officer2_full_na,optional,string,,
HighCompOfficer2Amount,high_comp_officer2_amount,optional,string,,
HighCompOfficer3FullName,high_comp_officer3_full_na,optional,string,,
HighCompOfficer3Amount,high_comp_officer3_amount,optional,string,,
HighCompOfficer4FullName,high_comp_officer4_full_na,optional,string,,
HighCompOfficer4Amount,high_comp_officer4_amount,optional,string,,
HighCompOfficer5FullName,high_comp_officer5_full_na,optional,string,,
HighCompOfficer5Amount,high_comp_officer5_amount,optional,string,,
