fieldname,fieldname_short,required,data_type,field_length,rule_labels,padded_flag
agencyidentifier,agency_identifier,TRUE,str,3,"A1, A20",TRUE
allocationtransferagencyidentifier,allocation_transfer_agency,FALSE,str,3,"A1, A20",TRUE
availabilitytypecode,availability_type_code,FALSE,str,1,"A1, A21",
beginningperiodofavailability,beginning_period_of_availa,FALSE,str,4,A1,
bydirectreimbursablefundingsource,by_direct_reimbursable_fun,FALSE,str,1,B12,
deobligationsrecoveriesrefundsdofprioryearbyprogramobjectclass_cpe,deobligations_recov_by_pro_cpe,TRUE,float,21,B13,
endingperiodofavailability,ending_period_of_availabil,FALSE,str,4,A1,
grossoutlayamountbyprogramobjectclass_cpe,gross_outlay_amount_by_pro_cpe,TRUE,float,21,B5,
grossoutlayamountbyprogramobjectclass_fyb,gross_outlay_amount_by_pro_fyb,TRUE,float,21,"A16, B5",
grossoutlaysdeliveredorderspaidtotal_cpe,gross_outlays_delivered_or_cpe,TRUE,float,21,"B5, B7",
grossoutlaysdeliveredorderspaidtotal_fyb,gross_outlays_delivered_or_fyb,TRUE,float,21,"A16, B5, B7",
grossoutlaysundeliveredordersprepaidtotal_cpe,gross_outlays_undelivered_cpe,TRUE,float,21,"B5, B6, A18",
grossoutlaysundeliveredordersprepaidtotal_fyb,gross_outlays_undelivered_fyb,TRUE,float,21,"A16, B5, B6",
mainaccountcode,main_account_code,TRUE,str,4,A1,TRUE
objectclass,object_class,TRUE,str,4,B11,
obligationsdeliveredordersunpaidtotal_cpe,obligations_delivered_orde_cpe,TRUE,float,21,B4,
obligationsdeliveredordersunpaidtotal_fyb,obligations_delivered_orde_fyb,TRUE,float,21,"A16, B4",
obligationsincurredbyprogramobjectclass_cpe,obligations_incurred_by_pr_cpe,TRUE,float,21,A19,
obligationsundeliveredordersunpaidtotal_cpe,obligations_undelivered_or_cpe,TRUE,float,21,B3,
obligationsundeliveredordersunpaidtotal_fyb,obligations_undelivered_or_fyb,TRUE,float,21,"A16, B3",
programactivitycode,program_activity_code,TRUE,str,4,B10,TRUE
programactivityname,program_activity_name,TRUE,str,164,B9,
subaccountcode,sub_account_code,TRUE,str,3,A1,TRUE
ussgl480100_undeliveredordersobligationsunpaid_cpe,ussgl480100_undelivered_or_cpe,TRUE,float,21,B3,
ussgl480100_undeliveredordersobligationsunpaid_fyb,ussgl480100_undelivered_or_fyb,TRUE,float,21,A16,
ussgl480200_undeliveredordersobligationsprepaidadvanced_cpe,ussgl480200_undelivered_or_cpe,TRUE,float,21,B6,
ussgl480200_undeliveredordersobligationsprepaidadvanced_fyb,ussgl480200_undelivered_or_fyb,TRUE,float,21,"A16, B6",
ussgl483100_undeliveredordersobligationstransferredunpaid_cpe,ussgl483100_undelivered_or_cpe,TRUE,float,21,B3,
ussgl483200_undeliveredordersobligationstransferredprepaidadvanced_cpe,ussgl483200_undelivered_or_cpe,TRUE,float,21,B6,
ussgl487100_downwardadjustmentsofprioryearunpaidundeliveredordersobligationsrecoveries_cpe,ussgl487100_downward_adjus_cpe,TRUE,float,21,B3,
ussgl487200_downwardadjustmentsofprioryearprepaidadvancedundeliveredordersobligationsrefundscollected_cpe,ussgl487200_downward_adjus_cpe,TRUE,float,21,B6,
ussgl488100_upwardadjustmentsofprioryearundeliveredordersobligationsunpaid_cpe,ussgl488100_upward_adjustm_cpe,TRUE,float,21,B3,
ussgl488200_upwardadjustmentsofprioryearundeliveredordersobligationsprepaidadvanced_cpe,ussgl488200_upward_adjustm_cpe,TRUE,float,21,B6,
ussgl490100_deliveredordersobligationsunpaid_cpe,ussgl490100_delivered_orde_cpe,TRUE,float,21,B4,
ussgl490100_deliveredordersobligationsunpaid_fyb,ussgl490100_delivered_orde_fyb,TRUE,float,21,"A16, B4",
ussgl490200_deliveredordersobligationspaid_cpe,ussgl490200_delivered_orde_cpe,TRUE,float,21,B7,
ussgl490800_authorityoutlayednotyetdisbursed_cpe,ussgl490800_authority_outl_cpe,TRUE,float,21,B7,
ussgl490800_authorityoutlayednotyetdisbursed_fyb,ussgl490800_authority_outl_fyb,TRUE,float,21,"A16, B7",
ussgl493100_deliveredordersobligationstransferredunpaid_cpe,ussgl493100_delivered_orde_cpe,TRUE,float,21,B4,
ussgl497100_downwardadjustmentsofprioryearunpaiddeliveredordersobligationsrecoveries_cpe,ussgl497100_downward_adjus_cpe,TRUE,float,21,B4,
ussgl497200_downwardadjustmentsofprioryearpaiddeliveredordersobligationsrefundscollected_cpe,ussgl497200_downward_adjus_cpe,TRUE,float,21,B7,
ussgl498100_upwardadjustmentsofprioryeardeliveredordersobligationsunpaid_cpe,ussgl498100_upward_adjustm_cpe,TRUE,float,21,B4,
ussgl498200_upwardadjustmentsofprioryeardeliveredordersobligationspaid_cpe,ussgl498200_upward_adjustm_cpe,TRUE,float,21,B7,
