fieldname,fieldname_short,required,data_type,field_length,rule_labels
AgencyIdentifier,agency_identifier,Required,string,3,"A1, A20"
AllocationTransferAgencyIdentifier,allocation_transfer_agency,Conditional per Validation Rule,string,3,"A1, A20"
AvailabilityTypeCode,availability_type_code,Conditional per Validation Rule,string,1,"A1, A21"
BeginningPeriodOfAvailability,beginning_period_of_availa,Conditional per Validation Rule,string,4,A1
ByDirectReimbursableFundingSource,by_direct_reimbursable_fun,Conditional per Validation Rule,string,1,B12
DeobligationsRecoveriesRefundsdOfPriorYearByProgramObjectClass_CPE,deobligations_recov_by_pro_cpe,Required,numeric,21,B13
EndingPeriodOfAvailability,ending_period_of_availabil,Conditional per Validation Rule,string,4,A1
GrossOutlayAmountByProgramObjectClass_CPE,gross_outlay_amount_by_pro_cpe,Required,numeric,21,B5
GrossOutlayAmountByProgramObjectClass_FYB,gross_outlay_amount_by_pro_fyb,Required,numeric,21,"A16, B5"
GrossOutlaysDeliveredOrdersPaidTotal_CPE,gross_outlays_delivered_or_cpe,Required,numeric,21,"B5, B7"
GrossOutlaysDeliveredOrdersPaidTotal_FYB,gross_outlays_delivered_or_fyb,Required,numeric,21,"A16, B5, B7"
GrossOutlaysUndeliveredOrdersPrepaidTotal_CPE,gross_outlays_undelivered_cpe,Required,numeric,21,"B5, B6, A18"
GrossOutlaysUndeliveredOrdersPrepaidTotal_FYB,gross_outlays_undelivered_fyb,Required,numeric,21,"A16, B5, B6"
MainAccountCode,main_account_code,Required,string,4,A1
ObjectClass,object_class,Required,string,4,B11
ObligationsDeliveredOrdersUnpaidTotal_CPE,obligations_delivered_orde_cpe,Required,numeric,21,B4
ObligationsDeliveredOrdersUnpaidTotal_FYB,obligations_delivered_orde_fyb,Required,numeric,21,"A16, B4"
ObligationsIncurredByProgramObjectClass_CPE,obligations_incurred_by_pr_cpe,Required,numeric,21,A19
ObligationsUndeliveredOrdersUnpaidTotal_CPE,obligations_undelivered_or_cpe,Required,numeric,21,B3
ObligationsUndeliveredOrdersUnpaidTotal_FYB,obligations_undelivered_or_fyb,Required,numeric,21,"A16, B3"
ProgramActivityCode,program_activity_code,Required,string,4,B10
ProgramActivityName,program_activity_name,Required,string,164,B9
SubAccountCode,sub_account_code,Required,string,3,A1
USSGL480100_UndeliveredOrdersObligationsUnpaid_CPE,ussgl480100_undelivered_or_cpe,Required,numeric,21,B3
USSGL480100_UndeliveredOrdersObligationsUnpaid_FYB ,ussgl480100_undelivered_or_fyb,Required,numeric,21,A16
USSGL480200_UndeliveredOrdersObligationsPrepaidAdvanced_CPE,ussgl480200_undelivered_or_cpe,Required,numeric,21,B6
USSGL480200_UndeliveredOrdersObligationsPrepaidAdvanced_FYB ,ussgl480200_undelivered_or_fyb,Required,numeric,21,"A16, B6"
USSGL483100_UndeliveredOrdersObligationsTransferredUnpaid_CPE,ussgl483100_undelivered_or_cpe,Required,numeric,21,B3
USSGL483200_UndeliveredOrdersObligationsTransferredPrepaidAdvanced_CPE,ussgl483200_undelivered_or_cpe,Required,numeric,21,B6
USSGL487100_DownwardAdjustmentsOfPriorYearUnpaidUndeliveredOrdersObligationsRecoveries_CPE,ussgl487100_downward_adjus_cpe,Required,numeric,21,B3
USSGL487200_DownwardAdjustmentsOfPriorYearPrepaidAdvancedUndeliveredOrdersObligationsRefundsCollected_CPE,ussgl487200_downward_adjus_cpe,Required,numeric,21,B6
USSGL488100_UpwardAdjustmentsOfPriorYearUndeliveredOrdersObligationsUnpaid_CPE,ussgl488100_upward_adjustm_cpe,Required,numeric,21,B3
USSGL488200_UpwardAdjustmentsOfPriorYearUndeliveredOrdersObligationsPrepaidAdvanced_CPE,ussgl488200_upward_adjustm_cpe,Required,numeric,21,B6
USSGL490100_DeliveredOrdersObligationsUnpaid_CPE,ussgl490100_delivered_orde_cpe,Required,numeric,21,B4
USSGL490100_DeliveredOrdersObligationsUnpaid_FYB ,ussgl490100_delivered_orde_fyb,Required,numeric,21,"A16, B4"
USSGL490200_DeliveredOrdersObligationsPaid_CPE,ussgl490200_delivered_orde_cpe,Required,numeric,21,B7
USSGL490800_AuthorityOutlayedNotYetDisbursed_CPE,ussgl490800_authority_outl_cpe,Required,numeric,21,B7
USSGL490800_AuthorityOutlayedNotYetDisbursed_FYB,ussgl490800_authority_outl_fyb,Required,numeric,21,"A16, B7"
USSGL493100_DeliveredOrdersObligationsTransferredUnpaid_CPE,ussgl493100_delivered_orde_cpe,Required,numeric,21,B4
USSGL497100_DownwardAdjustmentsOfPriorYearUnpaidDeliveredOrdersObligationsRecoveries_CPE,ussgl497100_downward_adjus_cpe,Required,numeric,21,B4
USSGL497200_DownwardAdjustmentsOfPriorYearPaidDeliveredOrdersObligationsRefundsCollected_CPE,ussgl497200_downward_adjus_cpe,Required,numeric,21,B7
USSGL498100_UpwardAdjustmentsOfPriorYearDeliveredOrdersObligationsUnpaid_CPE,ussgl498100_upward_adjustm_cpe,Required,numeric,21,B4
USSGL498200_UpwardAdjustmentsOfPriorYearDeliveredOrdersObligationsPaid_CPE,ussgl498200_upward_adjustm_cpe,Required,numeric,21,B7
