File,Rule,Rule Detail,Type,Validation Type,Severity,Decision Maker,Explanation of Rule,Action to Take,Implemented,Comments
A/B/C,A1,"TAS components: The combination of all the elements that make up the TAS must match the Treasury Central Accounting Reporting System (CARS). AgencyIdentifier, MainAccountCode, and SubAccountCode are always required. AllocationTransferAgencyIdentifier, BeginningPeriodOfAvailability, EndingPeriodOfAvailability and AvailabilityTypeCode are required if present in the CARS table.",Multi-Element Existence,External CARS,Fatal Error,Subject Matter Expert,Compare the combinaiton of TAS subcomponents to TAS table to external CARS & see if they match.,,Yes,Need some process for keeping TAS file up to date
A,A2,BudgetAuthorityAvailableAmountTotal_CPE = BudgetAuthorityAppropriatedAmount_CPE + BudgetAuthorityUnobligatedBalanceBroughtForward_FYB + AdjustmentsToUnobligatedBalanceBroughtForward_CPE + OtherBudgetaryResourcesAmount_CPE,Calculation,Record calculation,Fatal Error,,The first element is a total of the other elements,JW: ready,Yes,Ready
A,A3,OtherBudgetaryResourcesAmount_CPE = ContractAuthorityAmountTotal_CPE + BorrowingAuthorityAmountTotal_CPE + SpendingAuthorityfromOffsettingCollectionsAmountTotal_CPE,Calculation,Record calculation,Fatal Error,,The first element is a total of the other elements,JW: ready,Yes,Ready
A,A4,StatusOfBudgetaryResourcesTotal_CPE= ObligationsIncurredTotalByTAS_CPE + UnobligatedBalance_CPE,Calculation,Record calculation,Fatal Error,,The first element is a total of the other elements,JW: ready,Yes,Ready
A,A6,BudgetAuthorityAvailableAmountTotal_CPE= CPE value for GTAS SF 133 line #1910 ,Calculation,External 133,Fatal Error,,"For that TAS, compare File A element submission to SF 133 line from GTAS.","Go to GTAS, look up TAS specified in submission row & bring back value for SF 133 specified line & validate match to element value.",No,SF 133 unclear
A,A7,BudgetAuthorityUnobligatedBalanceBroughtForward_FYB= value for GTAS SF 133 line #1000 ,Calculation,External 133,Fatal Error,,"For that TAS, compare File A element submission to SF 133 line from GTAS.","Go to GTAS, look up TAS specified in submission row & bring back value for SF 133 specified line & validate match to element value.",No,SF 133 unclear
A,A8,BudgetAuthorityAppropriatedAmount_CPE= CPE aggregate value for GTAS SF 133 line #1160 + #1180 + #1260 + #1280,Calculation,External 133,Fatal Error,,"For that TAS, compare File A element submission to SF 133 line from GTAS.","Go to GTAS, look up TAS specified in submission row & bring back value for SF 133 specified line & validate match to element value.",No,SF 133 unclear
A,A9,ContractAuthorityAmountTotal_CPE= CPE aggregate value for GTAS SF 133 line #1540 + #1640,Calculation,External 133,Warning,,"For that TAS, compare File A element submission to SF 133 line from GTAS.","Go to GTAS, look up TAS specified in submission row & bring back value for SF 133 specified line & validate match to element value.",No,SF 133 unclear
A,A10,BorrowingAuthorityAmountTotal_CPE= CPE aggregate value for GTAS SF 133 line #1340 + #1440,Calculation,External 133,Warning,,"For that TAS, compare File A element submission to SF 133 line from GTAS.","Go to GTAS, look up TAS specified in submission row & bring back value for SF 133 specified line & validate match to element value.",No,SF 133 unclear
A,A11,SpendingAuthorityfromOffsettingCollectionsAmountTotal_CPE= CPE aggregate value for GTAS SF 133 line #1750 + #1850,Calculation,External 133,Warning,,"For that TAS, compare File A element submission to SF 133 line from GTAS.","Go to GTAS, look up TAS specified in submission row & bring back value for SF 133 specified line & validate match to element value.",No,SF 133 unclear
A,A12,AdjustmentsToUnobligatedBalanceBroughtForward_CPE= CPE aggregate value for GTAS SF 133 line #1010-1042,Calculation,External 133,Fatal Error,,"For that TAS, compare File A element submission to SF 133 line from GTAS.","Go to GTAS, look up TAS specified in submission row & bring back value for SF 133 specified line & validate match to element value.",No,SF 133 unclear
