state_code,congressional_district_no,census_year,status
IL,19,2000,removed
IA,05,2000,removed
LA,07,2000,removed
MA,10,2000,removed
MI,15,2000,removed
MO,09,2000,removed
NJ,13,2000,removed
NY,28,2000,removed
NY,29,2000,removed
OH,17,2000,removed
OH,18,2000,removed
PA,19,2000,removed
CA,53,2010,removed
IL,18,2010,removed
MI,14,2010,removed
MT,00,2010,removed
NY,27,2010,removed
OH,16,2010,removed
PA,18,2010,removed
WV,03,2010,removed
CO,08,2020,added
FL,28,2020,added
MT,01,2020,added
MT,02,2020,added
NC,14,2020,added
OR,06,2020,added
TX,37,2020,added
TX,38,2020,added
