fieldname,required,data_type,field_length
submitting_agency_id,True,float,
package_submission_date,True,str,
reporting_period_measure_date,True,str,
treasury_account_symbol_entry_id,True,int,
treasury_account_symbol_common_rendering_label,False,str,
allocation_transfer_recipient_agency_id,False,int,3
appropriation_account_responsible_agency_id,True,int,3
obligation_unlimited_availability_period_indicator,False,str,1
obligation_availability_period_start_fiscalyear,False,int,4
obligation_availability_period_start_date,False,str,10
obligation_availability_period_end_fiscalyear,False,int,4
obligation_availability_period_end_date,False,str,10
appropriation_main_account_code,True,int,4
appropriation_sub_account_code,True,int,4
appropriation_account_expired_status,True,str,
treasury_account_symbol_entry_id,True,int,
program_activity_code,True,float,4
object_class_code,True,float,4
direct_funding_source,True,str,
reimbursable_funding_source,True,str,
program_activity_title,True,str,
obligations_amount_total,True,float,
obligations_undelivered_orders_unpaid_total,True,float,
obligations_undelivered_orders_unpaid_current_fiscal_year_rolling_balance,True,float,
changes_in_obligations_undelivered_orders_unpaid_current_fiscal_year_rolling_balance_increases,True,float,
changes_in_obligations_undelivered_orders_unpaid_current_fiscal_year_rolling_balance_decreases,True,float,
obligations_undelivered_orders_unpaid_net_transferred_balance,True,float,
changes_in_obligations_undelivered_orders_unpaid_transferred_from_other_agencies_increases,True,float,
changes_in_obligations_undelivered_orders_unpaid_transferred_to_other_agencies_decreases,True,float,
obligations_undelivered_orders_unpaid_prior_fiscal_year_recoveries_balance,True,float,
obligations_undelivered_orders_unpaid_prior_fiscal_year_upward_adjustments_balance,True,float,
obligations_delivered_orders_unpaid_total,True,float,
obligations_delivered_orders_unpaid_current_fiscal_year_rolling_balance,True,float,
changes_in_obligations_delivered_orders_unpaid_current_fiscal_year_rolling_balance_increases,True,float,
changes_in_obligations_delivered_orders_unpaid_current_fiscal_year_rolling_balance_decreases,True,float,
obligations_delivered_orders_unpaid_net_transferred_balance,True,float,
changes_in_obligations_delivered_orders_unpaid_transferred_from_other_agencies_increases,True,float,
changes_in_obligations_delivered_orders_unpaid_transferred_to_other_agencies_decreases,True,float,
obligations_delivered_orders_unpaid_prior_fiscal_year_recoveries_balance,True,float,
obligations_delivered_orders_unpaid_prior_fiscal_year_upward_adjustments_balance,True,float,
outlays_amount_total,True,float,
outlays_undelivered_orders_prepaid_total,True,float,
outlays_undelivered_orders_prepaid_current_fiscal_year_rolling_balance,True,float,
changes_in_outlays_undelivered_orders_prepaid_current_fiscal_year_rolling_balance_increases,True,float,
changes_in_outlays_undelivered_orders_prepaid_current_fiscal_year_rolling_balance_decreases,True,float,
outlays_undelivered_orders_prepaid_net_transferred_balance,True,float,
changes_in_outlays_undelivered_orders_prepaid_transferred_from_other_agencies_increases,True,float,
changes_in_outlays_undelivered_orders_prepaid_transferred_to_other_agencies_decreases,True,float,
outlays_undelivered_orders_prepaid_prior_fiscal_year_refunds_collected_balance,True,float,
outlays_undelivered_orders_prepaid_prior_fiscal_year_upward_adjustments_balance,True,float,
outlays_delivered_orders_paid_total,True,float,
outlays_delivered_orders_paid_current_fiscal_year_rolling_balance,True,float,
changes_in_outlays_delivered_orders_paid_current_fiscal_year_rolling_balance_increases,True,float,
changes_in_outlays_delivered_orders_paid_current_fiscal_year_rolling_balance_decreases,True,float,
outlays_delivered_orders_paid_prior_fiscal_year_recoveries_balance,True,float,
outlays_delivered_orders_paid_prior_fiscal_year_upward_adjustments_balance,True,float,
